location,year,age,sex,mx,cause,prev
Kenya,1990,43,Female,0.00749156,Seborrhoeic dermatitis,9.348089309976499e-4
Kenya,1990,43,Female,0.00749156,Stomach cancer,1.2188874126081767e-5
Kenya,1990,44,Male,0.0102168,Seborrhoeic dermatitis,9.291023950073359e-4
Kenya,1990,44,Male,0.0102168,Stomach cancer,2.1617555161008e-5
Kenya,1990,44,Female,0.00775793,Seborrhoeic dermatitis,9.348089309976499e-4
Kenya,1990,44,Female,0.00775793,Stomach cancer,2.1976312527946e-5
Kenya,1990,45,Male,0.01078093,Seborrhoeic dermatitis,9.08823156768622e-4
Kenya,1990,45,Male,0.01078093,Stomach cancer,2.1617555161008e-5
Kenya,1990,45,Female,0.00808578,Seborrhoeic dermatitis,9.01896546768784e-4
Kenya,1990,45,Female,0.00808578,Stomach cancer,2.1976312527946e-5
Kenya,1990,46,Male,0.01123151,Seborrhoeic dermatitis,9.08823156768622e-4
Kenya,1990,46,Male,0.01123151,Stomach cancer,2.1617555161008e-5
Kenya,1990,46,Female,0.00838052,Seborrhoeic dermatitis,9.01896546768784e-4
Kenya,1990,46,Female,0.00838052,Stomach cancer,2.1976312527946e-5
Kenya,1990,47,Male,0.01183935,Seborrhoeic dermatitis,9.08823156768622e-4
Kenya,1990,47,Male,0.01183935,Stomach cancer,2.1617555161008e-5
Kenya,1990,47,Female,0.00873948,Seborrhoeic dermatitis,9.01896546768784e-4
Kenya,1990,47,Female,0.00873948,Stomach cancer,2.1976312527946e-5
Kenya,1990,48,Male,0.01258092,Seborrhoeic dermatitis,9.08823156768622e-4
Kenya,1990,48,Male,0.01258092,Stomach cancer,2.1617555161008e-5
Kenya,1990,48,Female,0.00925944,Seborrhoeic dermatitis,9.01896546768784e-4
Kenya,1990,48,Female,0.00925944,Stomach cancer,2.1976312527946e-5
Kenya,1990,49,Male,0.01330195,Seborrhoeic dermatitis,9.08823156768622e-4
Kenya,1990,49,Male,0.01330195,Stomach cancer,4.061372354701e-5
Kenya,1990,49,Female,0.00976135,Seborrhoeic dermatitis,9.01896546768784e-4
Kenya,1990,49,Female,0.00976135,Stomach cancer,3.5544086262648e-5
Kenya,1990,50,Male,0.01427187,Seborrhoeic dermatitis,8.765676018424821e-4
Kenya,1990,50,Male,0.01427187,Stomach cancer,4.061372354701e-5
Kenya,1990,50,Female,0.01049392,Seborrhoeic dermatitis,8.602948776910681e-4
Kenya,1990,50,Female,0.01049392,Stomach cancer,3.5544086262648e-5
Kenya,1990,51,Male,0.0148635,Seborrhoeic dermatitis,8.765676018424821e-4
Kenya,1990,51,Male,0.0148635,Stomach cancer,4.061372354701e-5
Kenya,1990,51,Female,0.01091585,Seborrhoeic dermatitis,8.602948776910681e-4
Kenya,1990,51,Female,0.01091585,Stomach cancer,3.5544086262648e-5
Kenya,1990,52,Male,0.01590774,Seborrhoeic dermatitis,8.765676018424821e-4
Kenya,1990,52,Male,0.01590774,Stomach cancer,4.061372354701e-5
Kenya,1990,52,Female,0.01172814,Seborrhoeic dermatitis,8.602948776910681e-4
Kenya,1990,52,Female,0.01172814,Stomach cancer,3.5544086262648e-5
Kenya,1990,53,Male,0.01670271,Seborrhoeic dermatitis,8.765676018424821e-4
Kenya,1990,53,Male,0.01670271,Stomach cancer,4.061372354701e-5
Kenya,1990,53,Female,0.01231699,Seborrhoeic dermatitis,8.602948776910681e-4
Kenya,1990,53,Female,0.01231699,Stomach cancer,3.5544086262648e-5
Kenya,1990,54,Male,0.0176282,Seborrhoeic dermatitis,8.765676018424821e-4
Kenya,1990,54,Male,0.0176282,Stomach cancer,6.5764730118066e-5
Kenya,1990,54,Female,0.01305238,Seborrhoeic dermatitis,8.602948776910681e-4
Kenya,1990,54,Female,0.01305238,Stomach cancer,5.0640198957172e-5
Kenya,1990,55,Male,0.01856389,Seborrhoeic dermatitis,8.92201504883682e-4
Kenya,1990,55,Male,0.01856389,Stomach cancer,6.5764730118066e-5
Kenya,1990,55,Female,0.01378185,Seborrhoeic dermatitis,8.6964047039623e-4
Kenya,1990,55,Female,0.01378185,Stomach cancer,5.0640198957172e-5
Kenya,1990,56,Male,0.01961825,Seborrhoeic dermatitis,8.92201504883682e-4
Kenya,1990,56,Male,0.01961825,Stomach cancer,6.5764730118066e-5
Kenya,1990,56,Female,0.01463816,Seborrhoeic dermatitis,8.6964047039623e-4
Kenya,1990,56,Female,0.01463816,Stomach cancer,5.0640198957172e-5
Kenya,1990,57,Male,0.02073219,Seborrhoeic dermatitis,8.92201504883682e-4
Kenya,1990,57,Male,0.02073219,Stomach cancer,6.5764730118066e-5
Kenya,1990,57,Female,0.01551122,Seborrhoeic dermatitis,8.6964047039623e-4
Kenya,1990,57,Female,0.01551122,Stomach cancer,5.0640198957172e-5
Kenya,1990,58,Male,0.02224787,Seborrhoeic dermatitis,8.92201504883682e-4
Kenya,1990,58,Male,0.02224787,Stomach cancer,6.5764730118066e-5
Kenya,1990,58,Female,0.01675838,Seborrhoeic dermatitis,8.6964047039623e-4
Kenya,1990,58,Female,0.01675838,Stomach cancer,5.0640198957172e-5
Kenya,1990,59,Male,0.02380834,Seborrhoeic dermatitis,8.92201504883682e-4
Kenya,1990,59,Male,0.02380834,Stomach cancer,1.0233621821514401e-4
Kenya,1990,59,Female,0.01801849,Seborrhoeic dermatitis,8.6964047039623e-4
Kenya,1990,59,Female,0.01801849,Stomach cancer,7.508462240714999e-5
Kenya,1990,60,Male,0.02602809,Seborrhoeic dermatitis,8.178431330043321e-4
