year,age,expos,sex
1956,44,103.643,f
1956,45,100.497,f
1956,46,97.661,f
1956,47,95.3295,f
1956,48,92.086,f
1956,49,87.167,f
1956,50,81.535,f
1956,51,76.2905,f
1956,52,70.9735,f
1956,53,66.9605,f
1956,54,65.81,f
1956,55,66.169,f
1956,56,66.4145,f
1956,57,66.5395,f
1956,58,66.209,f
1956,59,64.2775,f
1956,60,61.3395,f
1956,61,58.6745,f
1956,62,56.133,f
1956,63,53.5295,f
1956,64,51.4645,f
1956,65,49.5485,f
1956,66,47.367,f
1956,67,45.136,f
1956,68,42.313,f
1956,69,38.1055,f
1956,70,33.163,f
1956,71,28.5085,f
1956,72,24.017,f
1956,73,20.0745,f
1956,74,17.402,f
1956,75,15.278,f
1956,76,13.1005,f
1956,77,11.118,f
1956,78,9.191,f
1956,79,7.0765,f
1956,80,5.1025,f
1956,81,3.5805,f
1956,82,2.398,f
1956,83,1.641,f
1956,84,1.3605,f
1956,85,1.288,f
1956,86,1.203,f
1956,87,1.114,f
1956,88,0.9595,f
1956,89,0.702,f
1956,90,0.446,f
1956,91,0.2775,f
1956,92,0.1675,f
1956,93,0.0955,f
1956,94,0.062,f
1956,95,0.048,f
1956,96,0.035,f
1956,97,0.0265,f
1956,98,0.021,f
1956,99,0.018,f
1956,100+,0.0295,f
1957,0,451.3155,f
1957,1,414.1825,f
1957,2,389.0425,f
1957,3,363.9585,f
1957,4,336.9595,f
1957,5,311.079,f
1957,6,287.1145,f
1957,7,279.5245,f
1957,8,279.8025,f
1957,9,271.4755,f
1957,10,265.009,f
1957,11,260.658,f
1957,12,254.376,f
1957,13,252.6305,f
1957,14,255.4755,f
1957,15,257.7075,f
1957,16,259.2595,f
1957,17,255.399,f
1957,18,246.881,f
1957,19,235.3235,f
1957,20,224.7375,f
1957,21,215.9235,f
1957,22,207.7675,f
1957,23,199.9305,f
1957,24,192.3255,f
1957,25,186.26,f
1957,26,181.072,f
1957,27,175.498,f
1957,28,169.6285,f
1957,29,164.7095,f
1957,30,160.9575,f
1957,31,157.69,f
1957,32,154.369,f
1957,33,151.364,f
1957,34,147.5805,f
1957,35,141.7145,f
1957,36,134.8825,f
1957,37,128.601,f
1957,38,122.4595,f
1957,39,117.1675,f
1957,40,114.154,f
1957,41,112.258,f
1957,42,110.131,f
1957,43,107.932,f
1957,44,105.76,f
1957,45,102.996,f
1957,46,99.817,f
1957,47,96.9475,f
1957,48,94.582,f
1957,49,91.3175,f
1957,50,86.4005,f
1957,51,80.7825,f
1957,52,75.55,f
1957,53,70.2465,f
1957,54,66.2315,f
1957,55,65.04,f
1957,56,65.3335,f
1957,57,65.5085,f
1957,58,65.5625,f
1957,59,65.1625,f
1957,60,63.1865,f
1957,61,60.2185,f
1957,62,57.515,f
1957,63,54.927,f
1957,64,52.274,f
1957,65,50.1415,f
1957,66,48.1495,f
1957,67,45.898,f
1957,68,43.5995,f
1957,69,40.7305,f
1957,70,36.5285,f
1957,71,31.6255,f
1957,72,27.0085,f
1957,73,22.5725,f
1957,74,18.6835,f
1957,75,16.0065,f
1957,76,13.861,f
1957,77,11.707,f
1957,78,9.7775,f
1957,79,7.951,f
1957,80,6.017,f
1957,81,4.259,f
1957,82,2.9295,f
1957,83,1.923,f
1957,84,1.288,f
1957,85,1.041,f
1957,86,0.956,f
1957,87,0.865,f
1957,88,0.7745,f
1957,89,0.644,f
1957,90,0.457,f
1957,91,0.282,f
1957,92,0.172,f
1957,93,0.104,f
1957,94,0.06,f
1957,95,0.0405,f
1957,96,0.032,f
1957,97,0.0255,f
1957,98,0.02,f
1957,99,0.0175,f
1957,100+,0.028,f
1958,0,469.567,f
1958,1,435.2505,f
1958,2,410.1935,f
1958,3,385.6695,f
1958,4,361.0085,f
1958,5,334.361,f
1958,6,308.787,f
1958,7,285.1155,f
1958,8,277.726,f
1958,9,278.2135,f
1958,10,270.238,f
1958,11,264.0845,f
1958,12,259.927,f
1958,13,253.7825,f
1958,14,252.13,f
1958,15,255.0385,f
1958,16,257.324,f
1958,17,258.924,f
1958,18,255.1335,f
1958,19,246.7135,f
1958,20,235.2735,f
1958,21,224.7965,f
1958,22,216.0675,f
1958,23,207.9705,f
1958,24,200.1665,f
1958,25,192.571,f
1958,26,186.488,f
1958,27,181.266,f
1958,28,175.653,f
1958,29,169.7425,f
1958,30,164.777,f
1958,31,160.9715,f
1958,32,157.647,f
1958,33,154.2695,f
1958,34,151.203,f
1958,35,147.361,f
1958,36,141.449,f
1958,37,134.577,f
1958,38,128.2545,f
1958,39,122.074,f
1958,40,116.742,f
1958,41,113.678,f
1958,42,111.726,f
1958,43,109.547,f
1958,44,107.3,f
1958,45,105.0835,f
1958,46,102.282,f
1958,47,99.073,f
1958,48,96.174,f
1958,49,93.777,f
1958,50,90.4955,f
1958,51,85.5825,f
1958,52,79.9805,f
1958,53,74.7615,f
1958,54,69.4735,f
1958,55,65.4565,f
1958,56,64.2235,f
1958,57,64.449,f
1958,58,64.5535,f
1958,59,64.532,f
1958,60,64.061,f
1958,61,62.0365,f
1958,62,59.035,f
1958,63,56.289,f
1958,64,53.6515,f
1958,65,50.947,f
1958,66,48.748,f
1958,67,46.683,f
1958,68,44.3655,f
1958,69,42.002,f
1958,70,39.0855,f
1958,71,34.885,f
1958,72,30.019,f
1958,73,25.4415,f
1958,74,21.067,f
1958,75,17.245,f
1958,76,14.5845,f
1958,77,12.448,f
1958,78,10.354,f
1958,79,8.511,f
1958,80,6.807,f
1958,81,5.06,f
1958,82,3.511,f
1958,83,2.3625,f
1958,84,1.5165,f
1958,85,0.9915,f
1958,86,0.7795,f
1958,87,0.6925,f
1958,88,0.6055,f
1958,89,0.5225,f
1958,90,0.42,f
1958,91,0.2885,f
1958,92,0.1735,f
1958,93,0.105,f
1958,94,0.0635,f
1958,95,0.039,f
1958,96,0.028,f
1958,97,0.023,f
1958,98,0.019,f
1958,99,0.0165,f
1958,100+,0.026,f
1959,0,483.085,f
1959,1,454.0265,f
1959,2,431.4425,f
1959,3,406.978,f
1959,4,382.8565,f
1959,5,358.506,f
1959,6,332.139,f
1959,7,306.8215,f
1959,8,283.405,f
1959,9,276.1935,f
1959,10,276.894,f
1959,11,269.215,f
1959,12,263.299,f
1959,13,259.288,f
1959,14,253.2525,f
1959,15,251.67,f
1959,16,254.616,f
1959,17,256.9285,f
1959,18,258.5525,f
1959,19,254.813,f
1959,20,246.4735,f
1959,21,235.131,f
1959,22,224.7375,f
1959,23,216.0655,f
1959,24,208.0045,f
1959,25,200.214,f
1959,26,192.615,f
1959,27,186.5095,f
1959,28,181.2535,f
1959,29,175.604,f
1959,30,169.66,f
1959,31,164.654,f
1959,32,160.802,f
1959,33,157.4275,f
1959,34,153.9995,f
1959,35,150.879,f
1959,36,146.987,f
1959,37,141.0355,f
1959,38,134.1325,f
1959,39,127.7765,f
1959,40,121.566,f
1959,41,116.202,f
1959,42,113.093,f
1959,43,111.09,f
1959,44,108.865,f
1959,45,106.5765,f
1959,46,104.319,f
1959,47,101.486,f
1959,48,98.251,f
1959,49,95.3265,f
1959,50,92.9035,f
1959,51,89.6065,f
1959,52,84.7005,f
1959,53,79.1175,f
1959,54,73.914,f
1959,55,68.642,f
1959,56,64.625,f
1959,57,63.3495,f
1959,58,63.5065,f
1959,59,63.537,f
1959,60,63.439,f
1959,61,62.8915,f
1959,62,60.814,f
1959,63,57.7755,f
1959,64,54.983,f
1959,65,52.2945,f
1959,66,49.541,f
1959,67,47.2785,f
1959,68,45.1435,f
1959,69,42.763,f
1959,70,40.333,f
1959,71,37.3615,f
1959,72,33.1575,f
1959,73,28.329,f
1959,74,23.798,f
1959,75,19.498,f
1959,76,15.768,f
1959,77,13.154,f
1959,78,11.063,f
1959,79,9.061,f
1959,80,7.3295,f
1959,81,5.7615,f
1959,82,4.2005,f
1959,83,2.851,f
1959,84,1.872,f
1959,85,1.1705,f
1959,86,0.7455,f
1959,87,0.568,f
1959,88,0.487,f
1959,89,0.4105,f
1959,90,0.3415,f
1959,91,0.2645,f
1959,92,0.176,f
1959,93,0.1035,f
1959,94,0.0625,f
1959,95,0.0395,f
1959,96,0.026,f
1959,97,0.0195,f
1959,98,0.016,f
1959,99,0.0145,f
1959,100+,0.023,f
1960,0,492.434,f
1960,1,467.97,f
1960,2,450.296,f
1960,3,428.2845,f
1960,4,404.2225,f
1960,5,380.416,f
1960,6,356.347,f
1960,7,330.253,f
1960,8,305.185,f
1960,9,281.9985,f
1960,10,274.9305,f
1960,11,275.778,f
1960,12,268.3145,f
1960,13,262.5705,f
1960,14,258.659,f
1960,15,252.6885,f
1960,16,251.1275,f
1960,17,254.064,f
1960,18,256.3585,f
1960,19,257.9705,f
1960,20,254.2545,f
1960,21,245.9705,f
1960,22,234.6985,f
1960,23,224.362,f
1960,24,215.7295,f
1960,25,207.69,f
1960,26,199.909,f
